agglomeration_id,agglomeration_name,region,time_scale,S_i,N_i,coupling_regime,CCD_recalculated,regime_recalculated
SP_1h_City-level,SP,East China,1h,0.279288416,1.552231305,Low Coupling Type,0.8114323913723595,Low-Coupling
SP_2h_District-county-level,SP,East China,2h,0.655760398,1.844811563,High Coupling Type,1.0487556159391005,High-Coupling
SP_2h_City-level,SP,East China,2h,0.655760398,1.552231305,Social Lag Type,1.0044432530242062,Social-Lagging
SP_3h_District-county-level,SP,East China,3h,0.879610037,1.844811563,High Coupling Type,1.1286532775798888,High-Coupling
SP_3h_City-level,SP,East China,3h,0.879610037,1.552231305,Social Lag Type,1.080965052715013,Social-Lagging
WCOTS_1h_District-county-level,WCOTS,West,1h,0.284992738,2.183061062,Spatial Lag Type,0.8881266851207671,Spatial-Lagging
WCOTS_1h_City-level,WCOTS,West,1h,0.284992738,1.731489125,Low Coupling Type,0.838133868290292,Low-Coupling
WCOTS_2h_District-county-level,WCOTS,West,2h,0.529224618,2.183061062,High Coupling Type,1.0367558160928296,High-Coupling
WCOTS_2h_City-level,WCOTS,West,2h,0.529224618,1.731489125,Social Lag Type,0.9783966377456431,Social-Lagging
WCOTS_3h_District-county-level,WCOTS,West,3h,0.703819558,2.183061062,High Coupling Type,1.1133502311219896,High-Coupling
WCOTS_3h_City-level,WCOTS,West,3h,0.703819558,1.731489125,Social Lag Type,1.050679538860243,Social-Lagging
YH_1h_District-county-level,YH,North China,1h,0.281497998,1.753928118,Low Coupling Type,0.8382465511467554,Low-Coupling
YH_1h_City-level,YH,North China,1h,0.281497998,1.295580573,Low Coupling Type,0.777114360424898,Low-Coupling
YH_2h_District-county-level,YH,North China,2h,0.48027488,1.753928118,Social Lag Type,0.9580218529656602,Social-Lagging
YH_2h_City-level,YH,North China,2h,0.48027488,1.295580573,Social Lag Type,0.8881546109816839,Social-Lagging
YH_3h_District-county-level,YH,North China,3h,0.615085918,1.753928118,Social Lag Type,1.0191471484975885,Social-Lagging
YH_3h_City-level,YH,North China,3h,0.615085918,1.295580573,Social Lag Type,0.944822121129019,Social-Lagging
YRD_1h_District-county-level,YRD,East China,1h,0.268594219,2.037715281,Spatial Lag Type,0.8601219697722394,Spatial-Lagging
YRD_1h_City Level,YRD,East China,1h,0.268594219,1.756599789,Low Coupling Type,0.8287859342344692,Low-Coupling
YRD_2h_District/County Level,YRD,East China,2h,0.603139125,2.037715281,High Coupling Type,1.0529075769434926,High-Coupling
YRD_2h_City Level,YRD,East China,2h,0.603139125,1.756599789,Social Lag Type,1.0145479600419205,Social-Lagging
YRD_3h_District/County Level,YRD,East China,3h,0.786420102,2.037715281,High Coupling Type,1.1251217678401726,High-Coupling
YRD_3h_City Level,YRD,East China,3h,0.786420102,1.756599789,Social Lag Type,1.0841312374963257,Social-Lagging
